seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
37,lora_o_r4,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15721379999013152,0.8057607000228018,0.0,49152.0,0.008246289169873557,196608.0
37,lora_o_r4,hotpotqa,oracle,4,-5.654700547456741,2.3481163382530212,106.75,-780.0,-6.74609375,5.0703125,0.0,0.0,0.0,0.1674006749963155,0.8080844999931287,449.0,49152.0,0.008246289169873557,196608.0
37,lora_o_r4,hotpotqa,routed,4,-6.561952859163284,1.4408640265464783,312.0,-574.75,-7.9921875,3.82421875,0.07142857142857144,0.0,0.0,0.16852194999228232,0.8405751249811146,384.0,49152.0,0.008246289169873557,196608.0
37,lora_o_r4,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5113232750009047,1.1600341500161448,0.0,49152.0,0.008246289169873557,196608.0
37,lora_o_r4,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.15042267501121387,0.8323520999983884,0.0,49152.0,0.008246289169873557,196608.0
37,lora_o_r4,qasper,oracle,4,-5.999704957008362,1.1807971000671387,8.75,-2.25,-5.44140625,1.33203125,0.125,0.0,0.5,0.16249267499370035,0.9881315499806078,960.0,49152.0,0.008246289169873557,196608.0
37,lora_o_r4,qasper,routed,4,-6.154498219490051,1.0260038375854492,14.5,3.5,-5.556640625,1.216796875,0.125,0.0,0.5,0.16374140001425985,0.9514120999810984,384.0,49152.0,0.008246289169873557,196608.0
37,lora_o_r8,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2731884750101017,0.9164006750070257,0.0,98304.0,0.016492578339747113,393216.0
37,lora_o_r8,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15926087502157316,0.8484215499629499,0.0,98304.0,0.016492578339747113,393216.0
37,lora_o_r8,hotpotqa,oracle,4,-5.0894166231155396,2.913400262594223,62.25,-824.5,-5.595703125,6.220703125,0.0,0.0,0.0,0.17165054999350104,0.7998080499964999,449.0,98304.0,0.016492578339747113,393216.0
37,lora_o_r8,hotpotqa,routed,4,-6.0409532487392426,1.96186363697052,220.5,-666.25,-6.90625,4.91015625,0.07142857142857144,0.0,0.0,0.1677809250104474,0.8044416250049835,384.0,98304.0,0.016492578339747113,393216.0
37,lora_o_r8,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5142154750064947,1.1863717500091298,0.0,98304.0,0.016492578339747113,393216.0
37,lora_o_r8,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14922240002488252,0.8485118249955121,0.0,98304.0,0.016492578339747113,393216.0
37,lora_o_r8,qasper,oracle,4,-5.483339071273804,1.6971629858016968,10.25,-0.75,-4.7265625,2.046875,0.0625,0.0,0.25,0.16437110002152622,0.9336185499851126,960.0,98304.0,0.016492578339747113,393216.0
37,lora_o_r8,qasper,routed,4,-5.63830292224884,1.5421991348266602,14.75,3.75,-4.7265625,2.046875,0.0625,0.0,0.25,0.16125765000469983,0.964233674982097,384.0,98304.0,0.016492578339747113,393216.0
37,residual_32,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2696467749919975,0.8185304750077194,0.0,393344.0,0.06599178807036833,1573376.0
